cod_local,periodo,codigo_ine,pct_area_viaria,pnc_jubilacion_per_1000,pnc_invalidez_per_1000,pnc_total_per_1000,densidad_poblacion_hab_km2,tasa_crecimiento_pct,clasificacion,ratio_poblacion_area,autonomia_financiera_pct,residuos_kg_habitante,agua_suministrada_per_1000hab,agua_residual_per_1000hab,carga_dbo5_t_anio,pct_verde_urbano,pct_forestal_osm,pct_parque,area_parque_m2_per_hab,area_verde_m2_per_hab,area_forestal_m2_per_hab,parques_per_1000hab,area_parque_m2_per_1000hab,pct_agua,pct_humedal,pct_ribera
28005002,2016,28005,,3.672338748933817,2.3854970684998102,6.057835817433628,2222.98,,Urbano,2222.98,67.03,380.5,2506.0411317614994,7658.358302664019,4290.363,,,,9.063484204239767,10.913851980786802,101.39811236964478,0.6533712424772979,9063.484204239769,,,
28005002,2017,28005,,0.3818856205695121,2.422553288795891,6.241563170797075,2204.86,-0.8152,Urbano,2204.86,66.29,402.0,2528.8636714528334,7687.298646492718,4255.389,,,,9.137975400133806,11.003551026709896,102.23148577016109,0.6587411867634193,9137.975400133806,,,
28005002,2018,28005,,3.929414651298654,2.413166518675133,6.342581169973788,2198.52,-0.2877,Urbano,2198.52,63.09,384.6,2538.3920599119488,7675.377159343694,4243.147,,,,9.164339796955886,11.035297882333513,102.52643857322026,0.6606417515264438,9164.339796955886,,,
28005002,2019,28005,,4.057691920964001,2.344450890942364,6.402142811906365,2220.05,0.9796,Urbano,2220.05,67.29,395.0,2537.0229339275947,7381.596634789854,4284.713,,,,9.075436112630271,10.928243947068475,101.53182484960313,0.654232835332662,9075.436112630272,,,
28005002,2020,28005,,3.989446433333412,2.239565019363152,6.229011452696564,2241.76,0.9778,Urbano,2241.76,63.36,376.4,2535.487593768032,7092.92272805499,4326.608,,,,8.987558336117269,10.82242536520181,100.54868851297314,0.6478978750974378,8987.558336117268,,,
28005002,2021,28005,,0.4094056049760259,2.170856927108768,6.265061097565473,2223.83,-0.7997,Urbano,2223.83,62.41,391.6,2564.7712545029644,7745.754712167444,4292.006,,,,9.060015715728996,10.909675378351071,101.3593085079242,0.6531212050086233,9060.015715728996,,,
28005002,2022,28005,,3.983801695204505,2.028787900335628,6.012589595540133,2234.11,0.4623,Urbano,2234.11,53.44,406.5,2561.771159237739,8303.019991060906,4311.847,,,,9.018325139165414,10.85947340620048,100.89289342164074,0.6501158018772094,9018.325139165414,,,
28005002,2023,28005,6.272,4.050925419764737,1.9443392439030576,5.995264663667795,2260.17,1.1661,Urbano,2260.17,60.02,378.6,2532.2415455056635,8207.31082817897,4362.13,2.424,22.523,2.013,8.914370632179292,10.734295927383725,99.7298979837738,0.6426218973411519,8914.370632179292,0.483,0.0,0.483
28006004,2016,28006,,3.672338748933817,2.3854970684998102,6.057835817433628,2506.4,,Urbano,2506.4,79.15,380.5,4331.665784365626,13237.391918122465,2482.146,,,,12.863949179460032,32.3698605964355,42.03105699664726,1.1558143638609495,12863.949179460033,,,
28006004,2017,28006,,0.3818856205695121,2.422553288795891,6.241563170797075,2540.1,1.3446,Urbano,2540.1,83.65,402.0,4277.9591516924365,13004.239796629055,2515.522,,,,12.693272043460093,31.940381668756093,41.47339462320657,1.140479175372615,12693.272043460092,,,
28006004,2018,28006,,3.929414651298654,2.413166518675133,6.342581169973788,2566.04,1.0212,Urbano,2566.04,75.09,384.6,4238.441186862811,12815.843222420435,2541.21,,,,12.564957729000232,31.617501314235977,41.05414652222998,1.128950248627593,12564.957729000233,,,
28006004,2019,28006,,4.057691920964001,2.344450890942364,6.402142811906365,2588.22,0.8644,Urbano,2588.22,80.24,395.0,4240.994531784006,12339.388243335612,2563.176,,,,12.45727956254272,31.34654818865345,40.70232399179768,1.1192754613807243,12457.27956254272,,,
28006004,2020,28006,,3.989446433333412,2.239565019363152,6.229011452696564,2618.67,1.1765,Urbano,2618.67,78.9,376.4,4230.102096827314,11833.537414391514,2593.332,,,,12.312421358419822,30.98203805196889,40.22902117094674,1.1062600809005465,12312.421358419822,,,
28006004,2021,28006,,0.4094056049760259,2.170856927108768,6.265061097565473,2578.25,-1.5437,Urbano,2578.25,81.98,391.6,4311.290087401042,13020.340683941024,2553.299,,,,12.505467925790596,31.46780571065881,40.85977236274434,1.1236051428522418,12505.467925790595,,,
28006004,2022,28006,,3.983801695204505,2.028787900335628,6.012589595540133,2588.25,0.3877,Urbano,2588.25,72.37,406.5,4309.447116822311,13967.45584880512,2563.198,,,,12.457173127365625,31.34628036329149,40.701976230551686,1.1192658982749637,12457.173127365624,,,
28006004,2023,28006,7.521,4.050925419764737,1.9443392439030576,5.995264663667795,2640.77,2.0292,Urbano,2640.77,84.16,378.6,4223.738862463992,13689.664701547532,2615.21,8.107,10.527,3.222,12.20941917331011,30.722851209218195,39.89247672003752,1.0970054264085214,12209.41917331011,0.172,0.0,0.172
28007004,2016,28007,,3.672338748933817,2.3854970684998102,6.057835817433628,4984.75,,Urbano,4984.75,67.64,380.5,2933.607801426916,8964.9844043166,3665.053,,,,13.797100756480276,15.698459552804236,22.731455477610336,0.8783775708976181,13797.100756480277,,,
28007004,2017,28007,,0.3818856205695121,2.422553288795891,6.241563170797075,5008.19,0.4703,Urbano,5008.19,,402.0,2922.4490160044247,8883.728537358527,3682.288,,,,13.73252210942007,15.624981414408143,22.62505873047026,0.8742662408335861,13732.522109420072,,,
28007004,2018,28007,,3.929414651298654,2.413166518675133,6.342581169973788,5048.73,0.8094,Urbano,5048.73,69.32,384.6,2901.535085131739,8773.418602730351,3712.094,,,,13.622258144446674,15.499522129532394,22.443392998312703,0.8672464041722222,13622.258144446674,,,
